timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/05/26 19:02:33.403, 0, NVIDIA GeForce GTX 1070, 0 %, 3093 MiB
2026/05/26 19:02:34.410, 0, NVIDIA GeForce GTX 1070, 1 %, 3094 MiB
2026/05/26 19:02:35.419, 0, NVIDIA GeForce GTX 1070, 4 %, 3123 MiB
2026/05/26 19:02:36.431, 0, NVIDIA GeForce GTX 1070, 2 %, 3232 MiB
2026/05/26 19:02:37.444, 0, NVIDIA GeForce GTX 1070, 0 %, 3188 MiB
2026/05/26 19:02:38.449, 0, NVIDI5 %, 3197 MiB
3 %, 3197 MiB
3 %, 3193 MiB
3 %, 3192 MiB
4 %, 3192 MiB
4 %, 3160 MiB
6 %, 3159 MiB
4 %, 3160 MiB
6 %, 3160 MiB
4 %, 3160 MiB
2 %, 3160 MiB
2 %, 3163 MiB
1 %, 3164 MiB
1 %, 3168 MiB
1 %, 3171 MiB
1 %, 3172 MiB
4 %, 3179 MiB
1 %, 3181 MiB
1 %, 3181 MiB
2 %, 3175 MiB
1 %, 3173 MiB
1 %, 3170 MiB
1 %, 3168 MiB
1 %, 3175 MiB
3 %, 3176 MiB
2 %, 3176 MiB
0 %, 3176 MiB
0 %, 3172 MiB
0 %, 3172 MiB
0 %, 3172 MiB
1 %, 3170 MiB
1 %, 3246 MiB
2 %, 3251 MiB
4 %, 3253 MiB
2 %, 3233 MiB
2 %, 3176 MiB
2 %, 31eForce GTX 1070, 4 %, 3197 MiB
2026/05/26 19:02:47.517, 0, NVIDIA GeForce GTX 1070, 3 %, 3197 MiB
2026/05/26 19:02:48.530, 0, NVIDIA GeForce GTX 1070, 3 %, 3193 MiB
2026/05/26 19:02:49.539, 0, NVIDIA GeForce GTX 1070, 3 %, 3193 MiB
2026/05/26 19:02:50.554, 0, NVIDIA GeForce GTX 1070, 4 %, 3192 MiB
2026/05/26 19:02:51.562, 0, NVIDIA GeForce GTX 102 %, 3144 MiB
2 %, 3144 MiB
2 %, 3144 MiB
2 %, 3144 MiB
2 %, 3144 MiB
2 %, 3144 MiB
2 %, 3144 MiB
2 %, 3144 MiB
2 %, 3144 MiB
2 %, 3144 MiB
2 %, 3144 MiB
3 %, 3144 MiB
2 %, 3144 MiB
2 %, 3144 MiB
2 %, 3144 MiB
2 %, 3144 MiB
3 %, 3149 MiB
3 %, 3149 MiB
2 %, 3149 MiB
3 %, 3149 MiB
3 %, 3149 MiB
3 %, 3148 MiB
2 %, 3064 MiB
2 %, 3064 MiB
2 %, 3064 MiB
2 %, 3064 MiB
3 %, 3069 MiB
2 %, 3074 MiB
2 %, 3074 MiB
3 %, 3081 MiB
2 %, 3081 MiB
2 %, 3082 MiB
2 %, 869 MiB
2 %, 869 MiB
2 %, 868 MiB
2 %, 859 MiB
2 %, 863 MiB
2 %, 860 MiB
2 %, 860 MiB
2 %, 873 MiB
2 %, 868 MiB
2 %, 860 MiB
2 %, 860 MiB
2 %, 860 MiB
2 %, 855 MiB
2 %, 865 MiB
2 %, 863 MiB
2 %, 857 MiB
2 %, 864 MiB
2 %, 858 MiB
2 %, 859 MiB
2 %, 859 MiB
2 %, 859 MiB
65 %, 2764 MiB
2 %, 3066 MiB
2 %, 3066 MiB
2 %, 3066 MiB
2 %, 3066 MiB
2 %, 3066 MiB
2 %, 3066 MiB
2 %, 3065 MiB
2 %, 3065 MiB
2 %, 3065 MiB
2 %, 3062 MiB
2 %, 3062 MiB
2 %, 3062 MiB
2 %, 3062 MiB
2 %, 3072 MiB
2 %, 3072 MiB
2 %, 867 MiB
2 %, 867 MiB
2 %, 864 MiB
2 %, 864 MiB
2 %, 861 MiB
2 %, 856 MiB
2 %, 866 MiB
2 %, 863 MiB
2 %, 858 MiB
2 %, 858 MiB
2 %, 857 MiB
2 %, 855 MiB
2 %, 868 MiB
2 %, 868 MiB
2 %, 863 MiB
2 %, 867 MiB
2 %, 867 MiB
2 %, 857 MiB
2 %, 857 MiB
2 %, 857 MiB
2 %, 856 MiB
2 %, 856 MiB
2 %, 862 MiB
2 %, 864 MiB
2 %, 860 MiB
2 %, 861 MiB
2 %, 859 MiB
2 %, 855 MiB
2 %, 864 MiB
2 %, 864 MiB
2 %, 859 MiB
2 %, 859 MiB
2 %, 863 MiB
2 %, 863 MiB
2 %, 857 MiB
2 %, 857 MiB
2 %, 858 MiB
2 %, 862 MiB
2 %, 868 MiB
2 %, 864 MiB
2 %, 863 MiB
2 %, 858 MiB
3 %, 855 MiB
5 %, 855 MiB
2 %, 862 MiB
2 %, 863 MiB
2 %, 863 MiB
2 %, 961 MiB
2 %, 962 MiB
2 %, 957 MiB
2 %, 958 MiB
2 %, 958 MiB
2 %, 958 MiB
66 %, 2728 MiB
